;borough;year;population;like;retweet;reply;post_length;post_type_image;post_type_text;post_type_video;entries;avg_like;avg_retweet;avg_reply;Q131;Q133
102;Richmond upon Thames;2019;200703;1504.0;1003.0;101.0;203.32258064516128;89.0;51.0;16.0;156;9.64102564102564;6.42948717948718;0.6474358974358975;1.3520408163265305;1.7244897959183674
103;Richmond upon Thames;2020;201713;3374.0;1207.0;384.0;199.1027568922306;182.0;162.0;56.0;400;8.435;3.0175;0.96;1.525;1.875
104;Southwark;2017;317735;8184.0;7884.0;622.0;125.92236842105264;380.0;387.0;10.0;777;10.532818532818533;10.146718146718147;0.8005148005148005;1.4175084175084176;1.7845117845117846
105;Southwark;2018;322302;12278.0;7254.0;1003.0;180.1551724137931;618.0;343.0;31.0;992;12.377016129032258;7.3125;1.0110887096774193;1.4131736526946108;1.7574850299401197
106;Southwark;2019;327271;3970.0;1215.0;206.0;197.1520467836257;97.0;69.0;8.0;174;22.816091954022987;6.982758620689655;1.1839080459770115;1.3942857142857144;1.7114285714285715
107;Southwark;2020;330290;5989.0;2013.0;481.0;202.39442231075697;99.0;143.0;11.0;253;23.67193675889328;7.956521739130435;1.901185770750988;1.4391691394658754;1.7091988130563798
108;Sutton;2017;204933;2479.0;1786.0;200.0;118.95511221945137;168.0;226.0;9.0;403;6.15136476426799;4.431761786600497;0.49627791563275436;1.5924764890282133;1.896551724137931
109;Sutton;2018;207378;1250.0;890.0;150.0;175.44392523364485;106.0;106.0;3.0;215;5.813953488372093;4.1395348837209305;0.6976744186046512;1.5186170212765957;1.8484042553191489
110;Sutton;2019;209666;329.0;516.0;39.0;182.5506329113924;62.0;91.0;7.0;160;2.05625;3.225;0.24375;1.4015544041450778;1.761658031088083
111;Sutton;2020;211297;815.0;532.0;74.0;217.28934010152284;139.0;50.0;19.0;208;3.918269230769231;2.5576923076923075;0.3557692307692308;1.5568181818181819;1.7414772727272727
112;Tower Hamlets;2017;311044;21003.0;8293.0;2643.0;109.34548335974644;673.0;1143.0;90.0;1906;11.019412381951732;4.35099685204617;1.3866736621196223;1.4455445544554455;1.6963696369636965
113;Tower Hamlets;2018;317203;18625.0;7006.0;2543.0;169.43638525564805;399.0;410.0;38.0;847;21.989374262101535;8.271546635182998;3.002361275088548;1.3178082191780822;1.663013698630137
114;Tower Hamlets;2019;323696;9022.0;3220.0;1098.0;186.45112781954887;223.0;160.0;26.0;409;22.058679706601467;7.872860635696822;2.684596577017115;1.3208092485549132;1.606936416184971
115;Tower Hamlets;2020;328043;28174.0;8430.0;2468.0;205.85521582733813;550.0;473.0;106.0;1129;24.95482728077945;7.466784765279008;2.1860053144375553;1.4298780487804879;1.6310975609756098
116;Waltham Forest;2017;280050;2928.0;1612.0;304.0;102.16235504014271;348.0;773.0;4.0;1125;2.6026666666666665;1.4328888888888889;0.2702222222222222;1.3569131832797428;1.7459807073954985
117;Waltham Forest;2018;283524;3387.0;1368.0;268.0;128.72252747252747;195.0;463.0;72.0;730;4.63972602739726;1.873972602739726;0.36712328767123287;1.345646437994723;1.6807387862796834
118;Waltham Forest;2019;286776;5861.0;3280.0;1638.0;168.92467532467532;179.0;175.0;33.0;387;15.144702842377262;8.47545219638243;4.232558139534884;1.3457446808510638;1.7446808510638299
119;Waltham Forest;2020;290024;5453.0;1870.0;413.0;162.62360801781736;236.0;162.0;61.0;459;11.880174291938998;4.074074074074074;0.8997821350762527;1.5028735632183907;1.75
120;Wandsworth;2017;319731;4863.0;3041.0;476.0;134.3765690376569;392.0;548.0;17.0;957;5.081504702194358;3.1776384535005224;0.49738766980146293;1.4109589041095891;1.7328767123287672
121;Wandsworth;2018;324400;2251.0;1492.0;209.0;224.3823529411765;177.0;317.0;16.0;510;4.413725490196079;2.925490196078431;0.40980392156862744;1.3274336283185841;1.6991150442477876
122;Wandsworth;2019;328828;1843.0;1216.0;262.0;186.78571428571428;148.0;168.0;39.0;355;5.191549295774648;3.425352112676056;0.7380281690140845;1.387878787878788;1.706060606060606
123;Wandsworth;2020;332731;2522.0;1140.0;446.0;191.02522935779817;149.0;228.0;60.0;437;5.77116704805492;2.608695652173913;1.0205949656750573;1.4970414201183433;1.7307692307692308
124;Westminster;2017;250049;8770.0;6804.0;939.0;112.66512166859792;345.0;515.0;14.0;874;10.034324942791763;7.784897025171625;1.074370709382151;1.5121107266435987;1.792387543252595
125;Westminster;2018;254375;7480.0;3372.0;577.0;205.74217585692995;412.0;240.0;21.0;673;11.114413075780089;5.010401188707281;0.8573551263001485;1.5382352941176471;1.838235294117647
126;Westminster;2019;258511;7843.0;3365.0;677.0;204.68253968253967;364.0;177.0;29.0;570;13.759649122807017;5.9035087719298245;1.187719298245614;1.5123456790123457;1.7808641975308641
127;Westminster;2020;259981;8402.0;2924.0;1297.0;197.545;213.0;145.0;46.0;404;20.797029702970296;7.237623762376238;3.2103960396039604;1.5168195718654434;1.7339449541284404
